date,code,open,high,low,close,volume,amount
2014-01-27,300378,24.92,29.91,24.92,29.91,19214.0,57063268.0
2014-01-28,300378,32.9,32.9,32.9,32.9,89393.0,294104960.0
2014-01-29,300378,34.5,35.03,32.83,34.09,196079.0,663731264.0
2014-01-30,300378,32.55,33.2,31.0,31.28,90176.0,288115136.0
2014-02-07,300378,30.3,32.53,30.03,32.19,58530.0,185687488.0
2014-02-10,300378,32.38,35.17,31.91,34.35,94692.0,319561152.0
2014-02-11,300378,34.3,35.78,32.56,35.09,103921.0,357791872.0
2014-02-12,300378,34.78,38.6,34.6,38.6,120728.0,452701856.0
2014-02-13,300378,38.88,38.88,36.88,37.5,90038.0,338620160.0
2014-02-14,300378,37.67,40.34,37.12,39.9,98762.0,384663040.0
2014-02-17,300378,39.89,41.99,38.83,40.88,86576.0,349025728.0
2014-02-18,300378,40.5,41.97,39.02,39.45,85546.0,343421728.0
2014-02-19,300378,39.25,39.88,37.24,38.08,61147.0,233435968.0
2014-02-20,300378,37.98,39.98,37.01,38.38,61196.0,235957792.0
2014-02-21,300378,38.0,39.6,37.41,38.87,45324.0,174752480.0
2014-02-24,300378,38.51,39.68,38.48,39.4,39554.0,154735072.0
2014-02-25,300378,39.85,43.33,37.5,38.4,99852.0,409532480.0
2014-02-26,300378,36.82,37.45,34.56,36.88,57863.0,210036576.0
2014-02-27,300378,36.8,37.49,34.1,34.26,49873.0,177747312.0
2014-02-28,300378,34.4,36.09,34.1,35.85,39414.0,138751232.0
2014-03-03,300378,35.75,39.3,35.41,39.02,63313.0,239766800.0
2014-03-04,300378,38.06,40.44,37.11,38.81,61864.0,238653488.0
2014-03-05,300378,39.0,41.86,38.4,39.86,77092.0,309732736.0
2014-03-06,300378,39.74,43.85,37.81,42.12,94897.0,390105920.0
2014-03-07,300378,41.7,41.99,38.7,38.92,71902.0,290086912.0
2014-03-10,300378,37.62,38.65,36.6,36.81,37676.0,141348800.0
2014-03-11,300378,37.01,37.94,36.21,37.85,39074.0,145836080.0
2014-03-12,300378,37.33,37.65,35.27,36.9,43309.0,158210816.0
2014-03-13,300378,36.33,37.34,36.25,36.69,21592.0,79212160.0
2014-03-14,300378,36.28,37.57,36.01,36.91,29899.0,110457904.0
2014-03-17,300378,36.5,37.16,36.1,37.16,23998.0,88135280.0
2014-03-18,300378,37.0,38.8,36.86,37.54,39600.0,150142800.0
2014-03-19,300378,37.25,37.25,35.81,36.49,32902.0,119707408.0
2014-03-20,300378,36.09,36.66,34.98,34.98,29487.0,105050360.0
2014-03-21,300378,34.85,35.44,33.74,34.92,24887.0,85789872.0
2014-03-24,300378,34.79,34.99,33.05,33.16,27160.0,92040840.0
2014-03-25,300378,33.0,33.74,32.82,33.31,14995.0,49911988.0
2014-03-26,300378,33.5,33.81,33.23,33.28,12286.0,41196388.0
2014-03-27,300378,33.06,33.48,31.08,31.1,20808.0,66771180.0
2014-03-28,300378,31.01,32.06,29.92,31.05,28126.0,87042560.0
2014-03-31,300378,30.74,31.15,29.5,30.35,15382.0,46768020.0
2014-04-01,300378,30.08,31.1,30.03,30.83,14188.0,43702428.0
2014-04-02,300378,30.95,31.27,29.89,31.18,21300.0,65025164.0
2014-04-03,300378,30.96,31.85,30.51,30.9,19289.0,60186488.0
2014-04-04,300378,30.8,31.73,30.32,31.29,14959.0,46640928.0
2014-04-08,300378,30.68,31.48,30.2,31.32,18736.0,57856488.0
2014-04-09,300378,30.96,31.94,30.91,31.8,28405.0,89422464.0
2014-04-10,300378,31.61,32.73,31.44,31.58,30949.0,99176944.0
2014-04-11,300378,30.99,30.99,30.27,30.32,19242.0,58770776.0
2014-04-14,300378,30.12,30.52,30.12,30.26,10841.0,32831836.0
2014-04-15,300378,30.3,30.6,30.12,30.3,10452.0,31718940.0
2014-04-16,300378,30.2,30.37,29.75,29.95,10702.0,32103962.0
2014-04-17,300378,30.19,30.6,30.01,30.4,11723.0,35669012.0
2014-04-18,300378,30.4,30.75,30.22,30.65,10722.0,32739242.0
2014-04-21,300378,30.48,31.67,30.04,30.86,23142.0,71990744.0
2014-04-22,300378,30.64,31.26,30.15,30.6,15220.0,46597724.0
2014-04-23,300378,30.5,31.12,30.28,30.47,9777.0,29997428.0
2014-04-24,300378,30.31,30.47,28.77,28.92,19911.0,58677132.0
2014-04-25,300378,28.84,29.06,27.79,27.98,14979.0,42534200.0
