datetime,total_net_in_sh,total_in_sh,total_out_sh,total_net_in_sz,total_in_sz,total_out_sz
2014-11-17,120.82,120.82,0.0,,,
2014-11-18,47.2,49.44,2.24,,,
2014-11-19,24.97,26.7,1.73,,,
2014-11-20,21.42,23.1,1.68,,,
2014-11-21,22.0,24.31,2.31,,,
2014-11-24,58.56,61.39,2.83,,,
2014-11-25,27.5,31.32,3.82,,,
2014-11-26,31.93,35.15,3.23,,,
2014-11-27,28.69,33.35,4.66,,,
2014-11-28,22.46,30.14,7.68,,,
2014-12-01,13.18,37.88,24.7,,,
2014-12-02,31.15,42.14,10.99,,,
2014-12-03,36.85,60.5,23.65,,,
2014-12-04,33.59,46.28,12.69,,,
2014-12-05,24.5,59.84,35.35,,,
2014-12-08,14.16,48.17,34.01,,,
2014-12-09,10.24,56.32,46.07,,,
2014-12-10,18.36,43.87,25.5,,,
2014-12-11,9.15,26.51,17.36,,,
2014-12-12,16.92,33.97,17.04,,,
2014-12-15,9.36,22.24,12.88,,,
2014-12-16,12.26,27.72,15.47,,,
2014-12-17,4.89,35.73,30.84,,,
2014-12-18,18.3,34.49,16.19,,,
2014-12-19,8.62,29.4,20.77,,,
2014-12-22,13.24,39.54,26.3,,,
2014-12-23,5.87,30.03,24.16,,,
2014-12-29,6.69,34.52,27.82,,,
2014-12-30,-6.96,14.25,21.21,,,
2014-12-31,-0.21,21.33,21.54,,,
2015-01-05,20.02,40.01,19.98,,,
2015-01-06,-0.23,32.4,32.64,,,
2015-01-07,3.42,20.43,17.01,,,
2015-01-08,0.58,22.31,21.74,,,
2015-01-09,14.53,34.7,20.17,,,
2015-01-12,-12.73,21.65,34.38,,,
2015-01-13,-2.51,15.73,18.23,,,
2015-01-14,5.94,21.82,15.88,,,
2015-01-15,7.05,27.91,20.86,,,
2015-01-16,1.27,24.78,23.51,,,
2015-01-19,-3.43,26.19,29.62,,,
2015-01-20,21.45,49.36,27.91,,,
2015-01-21,19.26,45.8,26.55,,,
2015-01-22,1.51,27.87,26.35,,,
2015-01-23,2.62,27.24,24.62,,,
2015-01-26,3.96,17.52,13.56,,,
2015-01-27,9.03,27.02,17.99,,,
2015-01-28,11.42,23.03,11.61,,,
2015-01-29,9.75,32.75,23.0,,,
2015-01-30,0.3,17.52,17.22,,,
2015-02-02,1.78,24.12,22.33,,,
2015-02-03,27.0,36.8,9.8,,,
2015-02-04,10.96,21.08,10.12,,,
2015-02-05,28.33,50.58,22.24,,,
2015-02-06,1.61,24.21,22.61,,,
2015-02-09,11.18,25.67,14.49,,,
2015-02-10,16.29,27.3,11.01,,,
2015-02-11,13.82,27.07,13.26,,,
2015-02-12,11.6,26.22,14.62,,,
2015-02-13,19.14,33.2,14.06,,,
2015-02-16,1.24,20.31,19.08,,,
2015-02-17,2.21,14.45,12.24,,,
2015-02-25,10.11,32.52,22.41,,,
2015-02-26,-4.53,29.1,33.62,,,
2015-02-27,6.72,23.57,16.84,,,
2015-03-02,7.46,32.08,24.62,,,
2015-03-03,0.94,21.22,20.28,,,
2015-03-04,3.05,20.42,17.37,,,
2015-03-05,6.42,25.09,18.67,,,
2015-03-06,3.9,16.41,12.51,,,
2015-03-09,5.89,22.06,16.17,,,
2015-03-10,0.53,16.94,16.41,,,
2015-03-11,8.76,26.66,17.9,,,
2015-03-12,15.82,38.54,22.72,,,
2015-03-13,15.84,34.23,18.39,,,
2015-03-16,13.74,31.17,17.43,,,
2015-03-17,21.11,46.79,25.68,,,
2015-03-18,15.91,42.35,26.44,,,
2015-03-19,0.62,38.8,38.19,,,
2015-03-20,11.41,49.9,38.49,,,
2015-03-23,18.66,53.92,35.26,,,
2015-03-24,-16.46,44.1,60.56,,,
2015-03-25,-0.31,39.54,39.85,,,
2015-03-26,-10.14,35.84,45.98,,,
2015-03-27,1.07,29.53,28.46,,,
2015-03-30,-12.5,37.37,49.87,,,
2015-03-31,-13.91,33.59,47.5,,,
2015-04-01,-0.14,31.86,32.0,,,
2015-04-08,-40.21,45.78,85.99,,,
2015-04-09,-50.82,34.52,85.33,,,
2015-04-10,-8.85,32.55,41.4,,,
2015-04-13,9.31,42.64,33.33,,,
2015-04-14,4.28,37.89,33.61,,,
2015-04-15,10.29,43.6,33.31,,,
2015-04-16,15.74,45.32,29.57,,,
2015-04-17,15.97,58.94,42.98,,,
2015-04-20,-11.48,51.16,62.63,,,
2015-04-21,13.86,41.71,27.84,,,
2015-04-22,7.01,49.38,42.37,,,
2015-04-23,-7.39,35.42,42.81,,,
2015-04-24,0.3,37.74,37.45,,,
2015-04-27,10.65,52.26,41.61,,,
2015-04-28,-2.61,41.48,44.09,,,
2015-04-29,2.76,42.23,39.48,,,
2015-04-30,-4.44,33.2,37.64,,,
